"month","day","rise","rise_day","set","set_day","rise_date","set_date","utc_offset"
"8","4","0718","SAME","1731","SAME","2018-08-04 07:18:00","2018-08-04 17:31:00","UTC+10:00"
"8","5","0717","SAME","1732","SAME","2018-08-05 07:17:00","2018-08-05 17:32:00","UTC+10:00"
"8","6","0716","SAME","1733","SAME","2018-08-06 07:16:00","2018-08-06 17:33:00","UTC+10:00"
"8","7","0715","SAME","1733","SAME","2018-08-07 07:15:00","2018-08-07 17:33:00","UTC+10:00"
"8","8","0714","SAME","1734","SAME","2018-08-08 07:14:00","2018-08-08 17:34:00","UTC+10:00"
"8","9","0713","SAME","1735","SAME","2018-08-09 07:13:00","2018-08-09 17:35:00","UTC+10:00"
"8","10","0711","SAME","1736","SAME","2018-08-10 07:11:00","2018-08-10 17:36:00","UTC+10:00"
"8","11","0710","SAME","1737","SAME","2018-08-11 07:10:00","2018-08-11 17:37:00","UTC+10:00"
"8","12","0709","SAME","1738","SAME","2018-08-12 07:09:00","2018-08-12 17:38:00","UTC+10:00"
"8","13","0708","SAME","1739","SAME","2018-08-13 07:08:00","2018-08-13 17:39:00","UTC+10:00"
"8","14","0706","SAME","1740","SAME","2018-08-14 07:06:00","2018-08-14 17:40:00","UTC+10:00"
"8","15","0705","SAME","1741","SAME","2018-08-15 07:05:00","2018-08-15 17:41:00","UTC+10:00"
"8","16","0704","SAME","1741","SAME","2018-08-16 07:04:00","2018-08-16 17:41:00","UTC+10:00"
"8","17","0703","SAME","1742","SAME","2018-08-17 07:03:00","2018-08-17 17:42:00","UTC+10:00"
"8","18","0701","SAME","1743","SAME","2018-08-18 07:01:00","2018-08-18 17:43:00","UTC+10:00"
"8","19","0700","SAME","1744","SAME","2018-08-19 07:00:00","2018-08-19 17:44:00","UTC+10:00"
"8","20","0659","SAME","1745","SAME","2018-08-20 06:59:00","2018-08-20 17:45:00","UTC+10:00"
"8","21","0657","SAME","1746","SAME","2018-08-21 06:57:00","2018-08-21 17:46:00","UTC+10:00"
"8","22","0656","SAME","1747","SAME","2018-08-22 06:56:00","2018-08-22 17:47:00","UTC+10:00"
"8","23","0654","SAME","1748","SAME","2018-08-23 06:54:00","2018-08-23 17:48:00","UTC+10:00"
"8","24","0653","SAME","1749","SAME","2018-08-24 06:53:00","2018-08-24 17:49:00","UTC+10:00"
"8","25","0652","SAME","1749","SAME","2018-08-25 06:52:00","2018-08-25 17:49:00","UTC+10:00"
"8","26","0650","SAME","1750","SAME","2018-08-26 06:50:00","2018-08-26 17:50:00","UTC+10:00"
"8","27","0649","SAME","1751","SAME","2018-08-27 06:49:00","2018-08-27 17:51:00","UTC+10:00"
"8","28","0647","SAME","1752","SAME","2018-08-28 06:47:00","2018-08-28 17:52:00","UTC+10:00"
"8","29","0646","SAME","1753","SAME","2018-08-29 06:46:00","2018-08-29 17:53:00","UTC+10:00"
"8","30","0644","SAME","1754","SAME","2018-08-30 06:44:00","2018-08-30 17:54:00","UTC+10:00"
"8","31","0643","SAME","1755","SAME","2018-08-31 06:43:00","2018-08-31 17:55:00","UTC+10:00"
"9","1","0641","SAME","1756","SAME","2018-09-01 06:41:00","2018-09-01 17:56:00","UTC+10:00"
"9","2","0640","SAME","1756","SAME","2018-09-02 06:40:00","2018-09-02 17:56:00","UTC+10:00"
"9","3","0638","SAME","1757","SAME","2018-09-03 06:38:00","2018-09-03 17:57:00","UTC+10:00"
"9","4","0637","SAME","1758","SAME","2018-09-04 06:37:00","2018-09-04 17:58:00","UTC+10:00"
"9","5","0635","SAME","1759","SAME","2018-09-05 06:35:00","2018-09-05 17:59:00","UTC+10:00"
"9","6","0634","SAME","1800","SAME","2018-09-06 06:34:00","2018-09-06 18:00:00","UTC+10:00"
"9","7","0632","SAME","1801","SAME","2018-09-07 06:32:00","2018-09-07 18:01:00","UTC+10:00"
"9","8","0631","SAME","1802","SAME","2018-09-08 06:31:00","2018-09-08 18:02:00","UTC+10:00"
"9","9","0629","SAME","1803","SAME","2018-09-09 06:29:00","2018-09-09 18:03:00","UTC+10:00"
"9","10","0627","SAME","1804","SAME","2018-09-10 06:27:00","2018-09-10 18:04:00","UTC+10:00"
"9","11","0626","SAME","1804","SAME","2018-09-11 06:26:00","2018-09-11 18:04:00","UTC+10:00"
"9","12","0624","SAME","1805","SAME","2018-09-12 06:24:00","2018-09-12 18:05:00","UTC+10:00"
